step,x,y,label,dPred_global,dMI_global,dStab_global,dU_local,dMI_local,overlap_iou,redundant
1,908,443,1,nan,nan,nan,0.000000,-0.255582,0.000000,0
2,404,154,0,0.039651,-0.072838,-0.143123,0.000003,0.048949,0.187500,0
3,1754,104,0,0.019064,0.009544,-0.109626,-0.000000,0.061766,0.354492,0
4,1928,332,0,0.075626,-0.088511,-0.060440,0.000000,-0.040883,0.078369,0
5,2195,541,0,0.023029,-0.067551,0.029155,0.000001,-0.012212,0.217773,0
6,1188,395,1,-0.030463,0.238123,0.468743,0.124923,-0.931670,0.121338,0
7,762,502,1,0.027128,-0.091764,0.030440,-0.085042,-0.514977,0.251221,0
8,738,191,0,-0.005629,-0.102606,-0.035559,0.000000,0.073513,0.158447,0
9,1182,145,0,0.061902,-0.316010,0.093732,0.028711,-1.007949,0.056885,0
10,1523,70,0,0.013722,0.291294,-0.039845,-0.000000,0.004686,0.108887,0
11,1355,354,1,0.003662,-0.126289,-0.067851,0.027780,0.122321,0.233398,0
12,1043,520,1,0.041768,0.061064,0.044070,0.198853,-1.229636,0.239014,0
