step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
1,0.6319483518600464,-6.529905319213867,0.66160097820188,0.01028791256248951,0.01028791256248951,0.67478474204427,0.805816682113567,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6577563285827637,-6.558105945587158,0.6135118170526764,0.008952461183071136,0.008952461183071136,0.6501199369798283,0.7879668894489281,0.025807976722717285,-0.028200626373291016,-0.04808920621871948,0.010323191061615944,-0.011280250735580921,-0.019235683605074883
3,0.7023694515228271,-6.639693260192871,0.5079982385797155,0.0051569705829024315,0.0051569705829024315,0.5182927118121927,0.6827309487556884,0.04461312294006348,-0.08158731460571289,-0.1055135726928711,0.024039164185523987,-0.039403077214956284,-0.053746841847896576
4,0.7758163213729858,-6.808194160461426,0.39115730764353446,0.003148633986711502,0.003148633986711502,0.3646515374046352,0.5344243968656619,0.07344686985015869,-0.1685009002685547,-0.11684092879295349,0.04380224645137787,-0.09104220569133759,-0.07898447662591934
5,0.8076672554016113,-6.916187286376953,0.36542922283899854,0.002610931871458888,0.002610931871458888,0.34852670131763697,0.5168999634595203,0.03185093402862549,-0.10799312591552734,-0.025728076696395874,0.039021722972393036,-0.09782257676124573,-0.057681918144226074
6,0.8414033651351929,-7.0327630043029785,0.3583241063356278,0.0017194660613313317,0.0017194660613313317,0.33360500765267065,0.5003055713473387,0.03373610973358154,-0.11657571792602539,-0.007105112075805664,0.03690747916698456,-0.10532383620738983,-0.03745120018720627
7,0.7776941061019897,-6.573393821716309,0.7507523466417377,0.0031994683668017387,0.0031994683668017387,0.5749547552043086,0.7301222505655072,-0.06370925903320312,0.4593691825866699,0.3924282193183899,-0.003339214250445366,0.12055337429046631,0.13450056314468384
8,0.9238654375076294,-6.793466091156006,0.9711073957361847,0.003806720720604062,0.003806720720604062,0.8032371400490329,0.8908835362909524,0.14617133140563965,-0.22007226943969727,0.2203550934791565,0.05646500363945961,-0.01569688320159912,0.1688423752784729
9,0.9225171804428101,-6.665475368499756,0.9635228376060815,0.0024918478447943926,0.0024918478447943926,0.8996775875965625,0.9471897689068577,-0.001348257064819336,0.12799072265625,-0.007584571838378906,0.03333970159292221,0.04177815839648247,0.09827160090208054
10,0.9206759929656982,-6.740353107452393,0.9655002792565642,0.0026408773846924305,0.0026408773846924305,0.9033328749780272,0.9492116558838459,-0.0018411874771118164,-0.07487773895263672,0.0019774436950683594,0.01926734670996666,-0.004884200170636177,0.059753939509391785
11,0.9189731478691101,-6.7886223793029785,0.9641386542741642,0.0027467673644423485,0.0027467673644423485,0.9006557827902822,0.9477316102635511,-0.0017028450965881348,-0.04826927185058594,-0.0013616681098937988,0.010879270732402802,-0.02223822847008705,0.03530769795179367
12,0.917008638381958,-6.715651512145996,0.9606745338220166,0.002824010094627738,0.002824010094627738,0.8943569802730986,0.9442327814519567,-0.0019645094871520996,0.07297086715698242,-0.0034641027450561523,0.0057417587377130985,0.015845410525798798,0.01979897916316986
13,0.9125382900238037,-6.741156578063965,0.9519996689631849,0.0030358487274497747,0.0030358487274497747,0.8831934367145216,0.9379742085925794,-0.004470348358154297,-0.02550506591796875,-0.008674860000610352,0.0016569159924983978,-0.0006947806105017662,0.008409444242715836
14,0.9064369797706604,-6.715473175048828,0.9423206878267882,0.0032292751129716635,0.0032292751129716635,0.8683179679793199,0.9295184041059665,-0.0061013102531433105,0.02568340301513672,-0.009678959846496582,-0.0014463744591921568,0.009856493212282658,0.0011740827467292547
