step,x,y,label,dPred_global,dMI_global,dStab_global,dU_local,dMI_local,overlap_iou,redundant
1,961,447,1,nan,nan,nan,0.000000,-0.011672,0.000000,0
2,283,318,0,0.025808,-0.028201,-0.048089,0.000003,-0.049584,0.224854,0
3,586,213,0,0.044613,-0.081587,-0.105514,-0.000000,0.084450,0.142334,0
4,832,59,0,0.073447,-0.168501,-0.116841,0.000002,-0.128568,0.123291,0
5,1617,170,0,0.031851,-0.107993,-0.025728,0.000000,0.009703,0.067383,0
6,1859,355,0,0.033736,-0.116576,-0.007105,0.000000,-0.000419,0.122070,0
7,1156,469,1,-0.063709,0.459369,0.392428,0.062551,-0.903648,0.196533,0
8,789,551,1,0.146171,-0.220072,0.220355,0.107301,-1.338651,0.365479,0
9,1133,162,0,-0.001348,0.127991,-0.007585,0.189762,-0.794141,0.053223,0
10,1219,219,0,-0.001841,-0.074878,0.001977,0.000429,0.083589,0.020020,0
11,1129,221,0,-0.001703,-0.048269,-0.001362,-0.000014,-0.143614,0.007812,0
12,1074,180,0,-0.001965,0.072971,-0.003464,-0.000040,0.048890,0.006592,0
13,1178,131,0,-0.004470,-0.025505,-0.008675,-0.000147,0.026785,0.029785,0
14,1225,180,0,-0.006101,0.025683,-0.009679,0.000106,-0.029426,0.039795,0
15,1102,236,0,-0.004999,0.049242,-0.003993,-0.000056,0.053164,0.008057,0
16,1049,197,0,-0.004148,-0.004435,-0.005701,-0.000045,0.263000,0.001709,0
17,1025,230,0,-0.002646,0.030175,-0.007197,0.000003,0.112011,0.011475,0
18,1301,100,0,-0.011535,0.185141,-0.007789,-0.000000,-0.014772,0.086182,0
19,1025,96,0,-0.005325,-0.200737,-0.002715,-0.000000,0.016760,0.029297,0
20,861,178,0,-0.003557,0.016149,0.000105,-0.000000,0.016915,0.005859,0
21,707,184,0,-0.000273,0.196393,0.001807,-0.000000,0.015616,0.122803,0
22,2180,127,0,-0.003923,-0.078429,-0.003285,-0.000004,0.156831,0.027832,0
23,2268,480,0,-0.004434,0.081103,-0.006827,-0.000000,0.086134,0.029053,0
24,2111,949,0,-0.027135,-0.084484,-0.056056,0.000001,0.042153,0.063477,0
25,1699,1100,0,-0.019677,0.204457,-0.015613,-0.001219,0.114568,0.027100,0
26,457,883,0,-0.014924,-0.123796,0.044625,-0.017835,-0.190700,0.004150,0
27,348,641,0,0.002482,0.145622,0.020147,-0.000003,0.203696,0.021729,0
28,1182,178,0,-0.006799,-0.096563,-0.002354,0.000880,0.161382,0.001953,0
29,1156,199,0,-0.007630,0.150586,-0.002265,-0.000404,-0.154816,0.000977,0
30,1232,242,0,-0.002099,-0.075062,-0.006328,0.002335,-0.009826,0.004150,0
31,1129,145,0,-0.004580,0.004551,-0.004027,0.001094,-0.077703,0.016113,0
32,1111,131,0,-0.002917,-0.053320,-0.004192,-0.005145,-0.015968,0.006592,0
33,1084,229,0,-0.004474,0.081370,0.001519,0.001186,-0.185880,0.000977,0
34,1230,146,0,-0.001245,0.303368,-0.007022,-0.010848,0.040919,0.016113,0
35,1268,188,0,-0.002036,-0.248097,-0.003051,-0.001888,0.133532,0.021729,0
36,1191,230,0,-0.000385,-0.070365,-0.002471,-0.001066,-0.166985,0.004395,0
37,1107,166,0,-0.004526,0.052619,-0.003987,0.001620,0.016510,0.000000,0
38,949,207,0,-0.002662,0.099172,-0.002966,-0.000029,0.027742,0.000000,0
39,885,277,0,0.002993,-0.136943,-0.001489,0.000043,0.096345,0.002441,0
40,740,297,0,0.000530,0.193610,-0.000594,0.000011,-0.340655,0.000244,0
41,596,322,0,0.000406,-0.199509,0.002989,-0.000126,0.012849,0.061279,0
42,1525,135,0,-0.000885,-0.115566,-0.001950,-0.000408,0.026598,0.041504,0
43,1734,246,0,0.001880,0.302120,0.007032,-0.000047,-0.007823,0.006104,0
44,1760,693,0,-0.030154,-0.308390,0.000831,0.034754,-0.338503,0.097900,0
45,1674,756,0,-0.032552,0.398076,-0.066134,0.021111,-0.185700,0.000977,0
46,1609,455,0,0.005652,-0.396256,0.014311,0.003042,0.030961,0.003174,0
47,1092,416,1,0.038857,0.213596,0.031190,0.034461,0.351772,0.019775,0
48,1033,473,1,0.021655,-0.054982,-0.002875,0.019006,-0.103676,0.067383,0
