step,x,y,label,dPred_global,dMI_global,dStab_global,dU_local,dMI_local,overlap_iou,redundant
1,255,97,1,nan,nan,nan,0.000000,-0.000072,0.000000,0
2,50,88,0,0.004192,0.006221,-0.000054,0.000101,-0.067956,0.570557,0
3,208,181,1,-0.015696,0.073082,-0.000492,-0.000067,0.088748,0.395264,0
4,306,149,1,-0.016269,0.295333,-0.002922,-0.000351,0.003457,0.390381,0
5,316,235,1,0.002015,-0.070897,-0.002193,-0.000826,-0.040926,0.269287,0
6,308,283,1,0.008053,0.063239,-0.016354,0.000077,-0.066529,0.168213,0
7,251,304,1,0.009303,-0.047668,-0.031902,-0.000009,0.200022,0.135498,0
8,155,145,1,0.014231,-0.371586,0.053409,0.246248,-0.676600,0.019043,0
9,231,74,1,-0.004330,0.055420,-0.000321,-0.000020,-0.017067,0.029785,0
10,326,67,1,-0.005971,0.138586,-0.001598,-0.001754,0.190495,0.195801,0
11,403,154,1,0.000297,-0.057798,0.001532,0.016807,0.021034,0.135498,0
12,400,187,1,-0.006493,-0.070920,-0.000306,0.000358,-0.039594,0.070557,0
13,196,323,1,-0.000763,0.040165,0.000437,0.001513,-0.142783,0.051025,0
14,289,336,1,-0.005319,0.169063,-0.000400,-0.000009,0.054145,0.039307,0
15,350,315,1,-0.005827,-0.007284,0.000239,0.000052,-0.053874,0.077881,0
16,336,268,1,-0.001302,-0.030077,0.000012,-0.000128,-0.011372,0.089600,0
17,243,255,1,-0.003445,0.056109,-0.000374,0.002106,0.064579,0.016602,0
18,263,233,1,-0.001659,0.030727,-0.000613,0.027548,0.064546,0.033691,0
19,330,194,1,-0.003820,-0.028271,-0.000055,-0.005894,0.090048,0.058350,0
20,473,45,0,0.006000,-0.123872,-0.000594,0.000009,-0.068518,0.003906,0
21,382,27,0,0.002547,0.040669,0.000334,0.000001,-0.037475,0.000000,0
22,502,139,0,0.000402,-0.016101,-0.000439,-0.000002,0.039816,0.029785,0
23,512,263,0,0.001379,0.021742,0.000106,0.000006,0.332196,0.047852,0
24,482,299,0,0.001212,-0.095016,0.000186,-0.000009,-0.125975,0.008301,0
25,427,277,0,0.001345,0.150972,-0.000239,0.000001,0.074698,0.048584,0
26,49,310,0,-0.001705,-0.082868,-0.000281,0.000002,-0.079885,0.113525,0
27,62,228,0,-0.002779,-0.022422,-0.000068,0.000001,0.121749,0.000000,0
28,66,151,0,-0.001666,0.106749,0.000025,0.000000,0.026713,0.036377,0
29,93,66,0,0.001599,-0.208878,0.000800,0.000000,-0.032772,0.011475,0
30,49,37,0,0.001174,0.108206,0.000094,-0.000002,0.079044,0.005127,0
31,161,17,0,0.001249,0.012055,0.000040,0.000001,0.044814,0.011719,0
32,288,119,1,-0.000838,0.017709,0.000013,-0.001245,-0.403437,0.001465,0
33,176,130,1,-0.002163,-0.094638,-0.000014,-0.002050,-0.377254,0.043701,0
34,183,83,1,-0.001732,0.117293,0.000107,-0.000081,0.024109,0.071045,0
35,324,69,1,-0.000070,-0.043038,-0.000120,-0.000027,0.378968,0.045166,0
36,341,343,1,0.000075,-0.034698,0.000599,0.000140,-0.013630,0.094238,0
37,237,344,1,-0.000606,0.056248,0.000439,-0.000015,0.020044,0.003906,0
38,182,339,1,-0.002925,0.091259,0.000120,0.000030,-0.003757,0.031982,0
39,260,266,1,-0.002050,-0.029010,-0.000040,-0.000862,-0.188804,0.014404,0
40,281,251,1,-0.001194,-0.032602,-0.000066,0.000726,-0.017591,0.026855,0
41,281,223,1,-0.001904,-0.001420,-0.000173,-0.000381,0.325950,0.085937,0
42,267,181,1,-0.000290,0.078004,-0.000013,0.000046,0.272149,0.019775,0
43,252,163,1,-0.002143,-0.119487,-0.000200,-0.000373,-0.132666,0.000000,0
44,156,177,1,0.002378,-0.012407,0.000241,0.021335,-0.638674,0.005859,0
45,249,91,1,-0.000097,0.049072,0.000106,-0.000001,0.001704,0.001953,0
46,287,65,1,0.000266,-0.042997,-0.000013,0.000020,0.004292,0.000000,0
47,365,119,1,-0.001889,0.025756,-0.000120,-0.002825,-0.141709,0.037109,0
48,363,299,1,-0.000874,0.021831,-0.000120,0.000099,-0.065974,0.000000,0
49,373,339,1,-0.000687,-0.057051,0.000053,0.000162,-0.004555,0.027832,0
50,312,319,1,0.000077,0.024395,0.000000,-0.000006,-0.003376,0.026367,0
51,488,336,0,0.001046,0.035933,0.000120,0.000010,0.050648,0.004395,0
52,463,201,0,-0.000590,-0.091848,0.000080,0.000004,0.042488,0.044922,0
53,445,95,0,0.000097,0.057621,-0.000040,0.000010,0.064615,0.095459,0
54,509,65,0,0.000762,-0.171925,-0.000000,-0.000006,0.018507,0.000000,0
55,297,20,0,0.000229,0.083777,0.000040,-0.000002,-0.024984,0.080078,0
56,232,20,0,-0.000845,0.066662,-0.000080,0.000001,-0.036958,0.004150,0
57,136,78,0,-0.000161,-0.055041,0.000013,0.000002,0.015471,0.000732,0
58,110,126,0,0.000536,0.081451,-0.000120,0.000007,-0.028181,0.001221,0
59,86,264,0,0.000222,-0.025080,-0.000067,0.000007,-0.068256,0.002441,0
60,32,268,0,0.000218,-0.104051,-0.000093,-0.000001,0.122274,0.060791,0
