step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
1,0.9732416272163391,-7.047084331512451,0.9927813293362515,0.003416103310883045,0.003416103310883045,0.9836301327945096,0.9917475203996682,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9747376441955566,-7.032893657684326,0.9892107102692798,0.0032756212167441845,0.0032756212167441845,0.9804435238208298,0.9901252038021057,0.0014960169792175293,0.014190673828125,-0.0035706162452697754,0.0005984068266116083,0.00567626953125,-0.0014282464981079102
3,0.9661061763763428,-6.931278228759766,0.9890093208243044,0.00393825676292181,0.00393825676292181,0.97934537932683,0.9895649233888658,-0.008631467819213867,0.10161542892456055,-0.00020140409469604492,-0.0030935429967939854,0.04405193403363228,-0.0009375095251016319
4,0.9536820650100708,-7.012863636016846,0.9860540178432491,0.0045081330463290215,0.0045081330463290215,0.9806889829731107,0.9902503536936412,-0.012424111366271973,-0.08158540725708008,-0.002955317497253418,-0.00682577071711421,-0.006203003227710724,-0.0017446328420192003
5,0.9833858013153076,-7.088570594787598,0.9819027765186314,0.0020707782823592424,0.0020707782823592424,0.98221706184277,0.9910287634489948,0.029703736305236816,-0.07570695877075195,-0.0041512250900268555,0.007786032278090715,-0.034004587680101395,-0.002707269974052906
6,0.9794154763221741,-7.018453598022461,0.9856366341741868,0.0022646388970315456,0.0022646388970315456,0.9828155577296408,0.9913333127716449,-0.003970324993133545,0.07011699676513672,0.0037338733673095703,0.0030834898352622986,0.007644046097993851,-0.00013081275392323732
7,0.9599610567092896,-7.068556785583496,0.9878548702884887,0.002610299037769437,0.002610299037769437,0.9805926288719907,0.9902012302554806,-0.01945441961288452,-0.050103187561035156,0.0022182464599609375,-0.0059316735714674,-0.015454847365617752,0.0008088109316304326
8,0.949626624584198,-6.9279632568359375,0.9792988725275771,0.0031890529207885265,0.0031890529207885265,0.9716862480441204,0.9856398288602123,-0.010334432125091553,0.1405935287475586,-0.008556008338928223,-0.007692777551710606,0.046964503824710846,-0.0029371168930083513
9,0.9495530128479004,-7.036420822143555,0.9874796698066752,0.0025116833858191967,0.0025116833858191967,0.9804679115687056,0.9901376395359907,-7.361173629760742e-05,-0.10845756530761719,0.008180797100067139,-0.004645111504942179,-0.015204325318336487,0.0015100487507879734
10,0.9470674395561218,-6.959336757659912,0.9778140695772416,0.002855700673535466,0.002855700673535466,0.9763161124061307,0.9880161440544881,-0.0024855732917785645,0.07708406448364258,-0.009665608406066895,-0.0037812963128089905,0.02171103097498417,-0.0029602141585201025
11,0.9354256391525269,-7.0217437744140625,0.959110542312923,0.0036766580305993557,0.0036766580305993557,0.9390116635970107,0.9685466892500011,-0.01164180040359497,-0.06240701675415039,-0.01870352029800415,-0.0069254981353878975,-0.011936187744140625,-0.009257536381483078
12,0.9436869621276855,-7.008233547210693,0.9347534541368759,0.003201755229383707,0.003201755229383707,0.9650032205622289,0.9821899633183514,0.008261322975158691,0.01351022720336914,-0.024357080459594727,-0.0008507699239999056,-0.0017576217651367188,-0.015297355130314827
13,0.9475334882736206,-7.051595687866211,0.9566370589683701,0.002766806399449706,0.002766806399449706,0.9738085015024922,0.9867304763974973,0.0038465261459350586,-0.04336214065551758,0.021883606910705566,0.0010281484574079514,-0.018399430438876152,-0.00042496994137763977
14,0.9553161859512329,-7.002990245819092,0.9625369094485228,0.002345961518585682,0.002345961518585682,0.9779997548716208,0.9888775288903882,0.007782697677612305,0.04860544204711914,0.00589984655380249,0.0037299683317542076,0.00840251799672842,0.0021049566566944122
15,0.9606571197509766,-7.027470588684082,0.9684773257954502,0.0021711268927901983,0.0021711268927901983,0.9791424196015378,0.9894613039506973,0.005340933799743652,-0.024480342864990234,0.005940377712249756,0.00437435507774353,-0.004750626161694527,0.003639125032350421
16,0.9651651382446289,-7.205556869506836,0.9692850567655816,0.002036792691797018,0.002036792691797018,0.9801640749354168,0.9899826861240122,0.004508018493652344,-0.1780862808227539,0.0008077621459960938,0.004427820444107056,-0.07408489286899567,0.0025065799709409475
17,0.9647499918937683,-7.0445146560668945,0.9740279651658978,0.0020342229399830103,0.0020342229399830103,0.9807186141883514,0.9902654593774545,-0.0004151463508605957,0.1610422134399414,0.004742920398712158,0.0024906338658183813,0.019965946674346924,0.0034011162351816893
18,0.9686699509620667,-7.091076850891113,0.9729580573948452,0.0019334815442562103,0.0019334815442562103,0.9805973803400108,0.9902036527703282,0.00391995906829834,-0.04656219482421875,-0.0010699629783630371,0.0030623641796410084,-0.006645308807492256,0.001612684573046863
19,0.9686599373817444,-7.128097057342529,0.9757369405843453,0.0020117980893701315,0.0020117980893701315,0.9811141720229626,0.9904670673483938,-1.0013580322265625e-05,-0.037020206451416016,0.0027788877487182617,0.0018334131455048919,-0.01879526861011982,0.002079166006296873
20,0.9672164916992188,-7.0125017166137695,0.9744869831543722,0.002184906043112278,0.002184906043112278,0.9798862872161826,0.9898409757602301,-0.0014434456825256348,0.11559534072875977,-0.0012499094009399414,0.0005226696957834065,0.034960974007844925,0.0007475358434021473
21,0.9664164185523987,-6.988314151763916,0.9744593643896324,0.002275786828249693,0.002275786828249693,0.979571895324749,0.9896805442007451,-0.0008000731468200684,0.024187564849853516,-2.765655517578125e-05,-6.427435437217355e-06,0.03065161034464836,0.00043745888979174197
22,0.9671010971069336,-7.009222030639648,0.9713004757835272,0.002353536430746317,0.002353536430746317,0.9773648134041197,0.9885528525427167,0.0006846785545349121,-0.020907878875732422,-0.003158867359161377,0.0002700149780139327,0.010027814656496048,-0.0010010716505348682
23,0.9644936323165894,-6.996400833129883,0.9651803378478269,0.0024172887206077576,0.0024172887206077576,0.9756906413529952,0.9876957666660013,-0.0026074647903442383,0.012821197509765625,-0.006120145320892334,-0.0008809769642539322,0.011145167984068394,-0.003048701211810112
