step,x,y,label,dPred_global,dMI_global,dStab_global,dU_local,dMI_local,overlap_iou,redundant
1,363,123,1,nan,nan,nan,0.000000,0.042275,0.000000,0
2,62,335,0,0.001496,0.014191,-0.003571,0.000003,0.022592,0.351318,0
3,351,103,1,-0.008631,0.101615,-0.000201,-0.000025,-0.006858,0.332031,0
4,247,116,0,-0.012424,-0.081585,-0.002955,-0.000000,0.024220,0.311768,0
5,218,262,1,0.029704,-0.075707,-0.004151,0.016469,0.040956,0.059082,0
6,222,7,0,-0.003970,0.070117,0.003734,-0.000001,0.326298,0.074707,0
7,124,263,1,-0.019454,-0.050103,0.002218,0.001663,-0.099404,0.095703,0
8,390,199,0,-0.010334,0.140594,-0.008556,-0.000107,0.009466,0.196777,0
9,275,244,1,-0.000074,-0.108458,0.008181,-0.006057,-0.016556,0.039795,0
10,623,205,0,-0.002486,0.077084,-0.009666,-0.000000,0.041533,0.028564,0
11,154,264,1,-0.011642,-0.062407,-0.018704,-0.000005,0.014473,0.035645,0
12,578,407,0,0.008261,0.013510,-0.024357,0.000000,0.135357,0.093018,0
13,321,128,1,0.003847,-0.043362,0.021884,0.000181,-0.007210,0.126221,0
14,264,418,0,0.007783,0.048605,0.005900,0.000000,0.000000,0.050293,0
15,271,210,1,0.005341,-0.024480,0.005940,0.000090,-0.068789,0.049072,0
16,558,366,0,0.004508,-0.178086,0.000808,-0.000000,0.031922,0.093994,0
17,339,125,1,-0.000415,0.161042,0.004743,0.000003,-0.012019,0.036621,0
18,103,241,0,0.003920,-0.046562,-0.001070,0.000011,-0.009233,0.019287,0
19,355,169,1,-0.000010,-0.037020,0.002779,0.000002,-0.048861,0.167969,0
20,272,53,0,-0.001443,0.115595,-0.001250,-0.000000,0.000000,0.031494,0
21,246,209,1,-0.000800,0.024188,-0.000028,0.000001,0.018264,0.065186,0
22,74,46,0,0.000685,-0.020908,-0.003159,-0.000000,0.054905,0.020020,0
23,179,257,1,-0.002607,0.012821,-0.006120,0.000003,0.028006,0.022949,0
24,223,391,0,0.000728,-0.143409,-0.000732,0.000000,-0.099798,0.047852,0
25,280,215,1,-0.000973,0.037949,-0.000852,-0.000000,0.001082,0.000000,0
26,436,49,0,-0.003726,0.055175,-0.002985,-0.000282,0.242554,0.002197,0
27,272,171,1,-0.001346,-0.001034,-0.001975,0.000011,-0.025804,0.126709,0
28,33,348,0,-0.002591,0.007150,0.006550,-0.000000,0.005056,0.023193,0
29,147,250,1,-0.002616,-0.066715,-0.000381,0.000326,0.031256,0.016357,0
30,236,153,0,-0.003080,0.099408,-0.002009,0.000009,-0.083308,0.010498,0
31,366,191,1,-0.000372,-0.127349,-0.002354,0.000138,0.008989,0.024902,0
32,364,408,0,-0.003562,0.047245,-0.001958,-0.000797,0.035613,0.032959,0
33,379,109,1,-0.000075,0.089649,-0.003567,0.001452,0.020641,0.059814,0
34,548,419,0,-0.002559,-0.062070,-0.004227,-0.000000,0.145436,0.065674,0
35,378,99,1,0.000306,0.023818,-0.001483,0.001298,-0.026505,0.026367,0
36,156,359,0,-0.000796,0.058038,-0.004731,-0.000534,0.051464,0.067627,0
37,215,232,1,-0.000785,-0.033250,0.001203,0.004570,-0.214456,0.012451,0
38,20,213,0,-0.001730,-0.007505,-0.002904,-0.000000,0.000026,0.129150,0
39,296,235,1,-0.001393,-0.094303,-0.000615,0.000178,0.012807,0.000000,0
40,176,120,0,-0.002975,0.074884,-0.002008,0.012530,0.041045,0.024414,0
41,364,96,1,0.000189,0.009302,-0.002233,0.000123,0.030308,0.041260,0
42,594,45,0,-0.002903,0.020305,-0.002448,-0.000003,0.208155,0.119141,0
43,228,215,1,-0.000860,-0.026883,0.000507,0.000008,-0.008900,0.001953,0
44,452,93,0,-0.003290,0.109645,-0.003194,-0.000269,0.027646,0.000000,0
45,262,257,1,-0.003556,-0.055962,0.000491,0.000465,-0.089963,0.003174,0
46,254,378,0,-0.001150,0.002636,-0.001956,0.000000,0.000000,0.003174,0
47,214,230,1,-0.001364,-0.018823,-0.003560,0.000815,-0.068405,0.002686,0
48,97,215,0,-0.001305,0.066157,0.005353,0.000234,0.001904,0.008057,0
49,176,232,1,-0.001046,0.011779,-0.001718,0.000976,-0.107571,0.020996,0
50,170,333,0,-0.000107,0.021621,0.000055,0.005349,-0.080094,0.001953,0
51,312,167,1,-0.001201,-0.080062,-0.002815,0.000015,0.000065,0.027100,0
52,497,31,0,-0.003731,0.016255,-0.006654,-0.000001,0.226219,0.026855,0
53,241,225,1,-0.001542,0.026239,-0.002983,0.000036,-0.002806,0.000977,0
54,172,220,0,-0.000867,0.018343,-0.003461,0.003625,-0.040267,0.039307,0
55,351,89,1,-0.000653,-0.134789,-0.000172,0.000109,0.054283,0.001709,0
56,424,106,0,-0.002813,0.076173,-0.004368,0.000000,0.016512,0.000000,0
57,320,150,1,-0.001249,0.053247,-0.007229,0.000144,0.013305,0.005127,0
58,448,188,0,-0.002008,0.056911,-0.004495,0.000013,0.022510,0.134766,0
59,162,274,1,-0.000636,-0.042745,0.003032,0.000085,-0.081699,0.001953,0
60,602,234,0,-0.001125,-0.045411,-0.003970,-0.000001,0.010779,0.000000,0
61,306,138,1,-0.001955,-0.018174,-0.003265,0.000036,0.026133,0.023193,0
62,137,10,0,-0.002232,0.094766,0.009225,-0.000899,0.228596,0.022705,0
63,342,106,1,0.000039,-0.078700,0.000403,0.000260,-0.047015,0.000000,0
64,263,75,0,-0.002354,0.007388,0.001165,0.000000,0.002387,0.002441,0
65,376,86,1,0.000977,-0.006769,0.000582,0.000977,-0.002010,0.037598,0
66,220,43,0,-0.001207,-0.040339,0.001856,-0.000000,0.002143,0.007080,0
67,222,279,1,-0.001116,0.093626,0.001520,0.018700,-0.095617,0.000000,0
68,515,332,0,-0.001870,0.016961,-0.006319,-0.000001,0.303668,0.010742,0
69,363,176,1,-0.000147,-0.029268,-0.002213,0.000061,-0.011265,0.018799,0
70,324,334,0,0.003539,0.012822,0.025462,0.027171,-0.228387,0.024902,0
71,335,150,1,-0.000819,-0.031758,-0.003793,0.000073,0.012926,0.004395,0
72,119,166,0,-0.000242,-0.024256,0.000542,0.000000,0.001478,0.015625,0
73,200,300,1,0.000262,-0.019463,0.011065,0.016164,-0.072657,0.000244,0
74,503,412,0,-0.002071,0.072690,-0.004040,-0.000012,0.033128,0.000000,0
75,337,226,1,-0.001570,0.013477,-0.001933,0.000502,0.026999,0.003174,0
76,193,173,0,-0.000922,0.043106,0.017560,0.048103,-0.286635,0.062988,0
77,285,193,1,0.000339,-0.034152,-0.000527,0.000198,0.067545,0.000000,0
78,88,377,0,-0.001946,-0.122771,-0.001649,-0.000000,-0.027841,0.026367,0
79,142,265,1,-0.001104,0.026968,0.000784,0.000023,-0.026161,0.002197,0
80,570,290,0,-0.000366,0.109853,-0.002569,-0.000003,0.037424,0.000000,0
81,217,217,1,-0.000184,-0.024920,-0.000318,0.000097,-0.009944,0.000000,0
82,38,99,0,-0.000956,0.003787,-0.001876,-0.000389,-0.163816,0.014404,0
83,311,196,1,-0.000515,-0.053748,-0.000854,0.000028,-0.010542,0.000000,0
84,56,363,0,-0.002481,-0.004941,-0.000796,-0.000003,-0.002765,0.137451,0
85,290,244,1,-0.001852,-0.002356,-0.001998,0.000016,-0.105439,0.000000,0
86,175,361,0,-0.003046,0.112365,-0.002780,-0.006371,0.409824,0.000732,0
87,268,229,1,-0.000982,0.006909,-0.001367,0.000176,-0.060490,0.000000,0
88,5,189,0,-0.001265,-0.124151,-0.015794,-0.000182,0.031724,0.017090,0
89,355,91,1,0.000326,0.009224,-0.000835,0.000484,0.000046,0.000000,0
90,316,103,0,-0.002776,0.020274,-0.002188,0.000008,0.038083,0.001465,0
91,299,175,1,-0.000676,0.082551,-0.001764,0.000041,0.041956,0.001709,0
92,632,22,0,-0.000347,-0.054335,-0.003045,-0.000001,0.041373,0.024170,0
93,338,212,1,-0.000633,0.057354,-0.003152,0.000137,0.000113,0.000488,0
94,205,128,0,-0.002764,-0.001493,-0.005543,-0.002280,0.065304,0.098145,0
95,287,235,1,-0.002023,-0.054849,-0.003035,0.000037,-0.015054,0.000000,0
96,562,96,0,-0.000643,0.018901,-0.001966,-0.000006,-0.003641,0.005371,0
97,371,217,1,-0.000669,0.018200,-0.001579,0.000274,-0.027968,0.000000,0
98,104,163,0,-0.001299,0.064361,-0.004387,0.000054,-0.046390,0.000000,0
99,350,205,1,-0.000781,-0.061282,-0.002225,0.000150,0.076517,0.000000,0
100,586,12,0,-0.000844,0.058046,-0.000570,-0.000006,-0.069181,0.000244,0
