dataset,sample_id,iteration,n_inclusion,n_exclusion,miou,dice
Bird,sample_000000,1,1,1,0.7476384474190805,0.8555985347234675
Bird,sample_000000,2,2,2,0.7329384843182124,0.845890942985863
Bird,sample_000000,3,3,3,0.7270398993529834,0.8419491635663553
Bird,sample_000000,4,4,4,0.724955035971223,0.8405494877877121
Bird,sample_000000,5,5,5,0.7800547060669926,0.8764390256190644
Bird,sample_000000,6,6,6,0.786661291767446,0.8805936473714557
Bird,sample_000000,7,7,7,0.7916703945602577,0.8837232528526129
Bird,sample_000000,8,8,8,0.7883005863133867,0.8816197817599359
Bird,sample_000000,9,9,9,0.7868118084486853,0.8806879434402186
Bird,sample_000000,10,10,10,0.7830704427316724,0.878339322962479
Bird,sample_000000,11,11,11,0.782478153708268,0.8779666130329847
Bird,sample_000000,12,12,12,0.7827411622384516,0.878132147075825
Bird,sample_000000,13,13,13,0.780148838877432,0.8764984386017931
Bird,sample_000000,14,14,14,0.7797408187973633,0.8762408667170571
Bird,sample_000000,15,15,15,0.779037970143901,0.8757969005921633
Bird,sample_000000,16,16,16,0.7762827412988877,0.874053125946874
Bird,sample_000000,17,17,17,0.7783507466032913,0.8753624650142464
Bird,sample_000000,18,18,18,0.7780817003721806,0.8751922931430156
Bird,sample_000000,19,19,19,0.7817611472103966,0.8775150905432596
Bird,sample_000000,20,20,20,0.7812429986109244,0.8771885691285973
Bird,sample_000000,21,21,21,0.783212398100869,0.8784286144880941
Bird,sample_000000,22,22,22,0.7830370337199409,0.8783183062510987
Bird,sample_000000,23,23,23,0.7831810854379366,0.8784089196926322
Bird,sample_000000,24,24,24,0.785206067928581,0.8796811550609114
Bird,sample_000000,25,25,25,0.7860082304526749,0.880184331797235
Bird,sample_000000,26,26,26,0.7859507829977629,0.8801483114540535
Bird,sample_000000,27,27,27,0.7862031942021205,0.8803065594710346
Bird,sample_000000,28,28,28,0.7864585662537453,0.8804666182692067
Bird,sample_000000,29,29,29,0.7880007153075823,0.8814322148322248
Bird,sample_000000,30,30,30,0.7875480812237231,0.8811489766301356
Bird,sample_000000,31,31,31,0.7877676934769974,0.8812864180858779
Bird,sample_000000,32,32,32,0.7874329159212881,0.8810768884329572
Bird,sample_000000,33,33,33,0.7871293770403828,0.8808868425003754
Bird,sample_000000,34,34,34,0.7877067501117568,0.8812482808631942
Bird,sample_000000,35,35,35,0.7878165334286097,0.8813169793410107
Bird,sample_000000,36,36,36,0.7872359430128176,0.8809535708930981
Bird,sample_000000,37,37,37,0.7865916298182143,0.88055
Bird,sample_000000,38,38,38,0.7871912822116028,0.8809256066171877
Bird,sample_000000,39,39,39,0.7875987679121468,0.8811807012286484
Bird,sample_000000,40,40,40,0.7868648215715939,0.8807211514517655
Bird,sample_000000,41,41,41,0.7857713474170069,0.8800357879563586
Bird,sample_000000,42,42,42,0.7823456681091584,0.8778832098704259
Bird,sample_000000,43,43,43,0.7807067728733001,0.8768504559721226
Bird,sample_000000,44,44,44,0.7777972487514239,0.8750123213405618
Bird,sample_000000,45,45,45,0.7804363124560169,0.8766798418972332
Bird,sample_000000,46,46,46,0.545773748723187,0.706149589063726
Bird,sample_000000,47,47,47,0.5484831029185868,0.7084134168268337
Bird,sample_000000,48,48,48,0.5266959702455968,0.6899814770073287
Bird,sample_000000,49,49,49,0.5098336304218657,0.6753507408354814
Bird,sample_000000,50,50,50,0.555758803161952,0.714453682707651
Bird,sample_000000,51,51,51,0.5408686784997291,0.7020308557720147
Bird,sample_000000,52,52,52,0.5247671334279194,0.6883242980823692
Bird,sample_000000,53,53,53,0.5322939169093015,0.6947673824653168
Bird,sample_000000,54,54,54,0.5053801795374829,0.6714319564015481
Bird,sample_000000,55,55,55,0.4876205368777691,0.6555711282410652
Bird,sample_000000,56,56,56,0.47177801303839084,0.6410994169758462
Bird,sample_000000,57,57,57,0.47093914643325063,0.640324445202494
Bird,sample_000000,58,58,58,0.49239284782797693,0.6598702862247078
Bird,sample_000000,59,59,59,0.4581810363362718,0.6284281922736655
Bird,sample_000000,60,60,60,0.3982775119617225,0.5696687653983028
Bird,sample_000000,61,61,61,0.391314531996627,0.562510522239806
Bird,sample_000000,62,62,62,0.39272021694408077,0.5639613932018465
Bird,sample_000000,63,63,63,0.3850722311396469,0.5560319851662997
Bird,sample_000000,64,64,64,0.4010649627263046,0.5725144420796595
Bird,sample_000000,65,65,65,0.40816969696969696,0.5797166319486288
Bird,sample_000000,66,66,66,0.4052454282964389,0.5767610698263758
Bird,sample_000000,67,67,67,0.4031429867927683,0.5746285169614134
Bird,sample_000000,68,68,68,0.40874524714828897,0.5802968960863698
Bird,sample_000000,69,69,69,0.44119857953809066,0.6122661870503597
Bird,sample_000000,70,70,70,0.4145181844917165,0.5860909941439413
Bird,sample_000000,71,71,71,0.44030314003414206,0.6114034300080812
Bird,sample_000000,72,72,72,0.43541012082662783,0.6066699886104784
Bird,sample_000000,73,73,73,0.4608231584054338,0.6309088896269235
