step,PredIoU,AnchMI,Stability,IoU,Dice
1,0.6334401965141296,-5.2981977462768555,0.6627870542343178,0.6854474722867124,0.8133715034817894
2,0.673090934753418,-5.717952728271484,0.5196638734953325,0.6223681906591474,0.7672342126065566
3,0.692155122756958,-5.851152420043945,0.41003831298521065,0.49901951496776714,0.6657945543537469
4,0.7677806615829468,-6.1684770584106445,0.3495979786259667,0.34463188512900506,0.5126040650091245
5,0.7908097505569458,-6.290004730224609,0.3787533529864617,0.33703345746040075,0.5041511198987819
6,0.7603464126586914,-6.000537395477295,0.8474963082292326,0.5699888654615825,0.7261056151426956
7,0.7874746322631836,-5.972471237182617,0.8779361055375474,0.7100611345433528,0.8304511694933813
8,0.7818456888198853,-5.919598579406738,0.8423767192216871,0.6673807030098211,0.8005138860071
9,0.8437477350234985,-6.603469371795654,0.9361082401577703,0.530158053126678,0.6929454797736343
10,0.8574702143669128,-6.067122459411621,0.8962633479061574,0.5889116926328881,0.7412768064624645
11,0.8611321449279785,-6.183738708496094,0.8284119661656845,0.6745846043083366,0.8056739594676545
12,0.9029006361961365,-5.949010848999023,0.8724820614884579,0.8952059004301973,0.9447056915842151
