iteration,num_pairs,num_points,base_ce_nats,expected_ce_after_extra,expected_ce_after_std,mi_increment_nats,mi_cumulative_nats,base_miou,expected_miou_after_extra,temperature
0,1,2,0.00858952198177576,0.00835203900351189,0.0014203039302002672,0.00023748297826386988,0.00023748297826386988,0.9779581661194211,0.9798421598200215,1.0
1,2,4,0.007351163774728775,0.012799926160369068,0.009607986463186512,-0.005448762385640293,-0.0052112794073764235,0.9839909394226943,0.961113223818798,1.0
2,3,6,0.025438297539949417,0.025854757201159373,0.02173978810625144,-0.0004164596612099558,-0.005627739068586379,0.8995925674424348,0.8977813594504251,1.0
3,4,8,0.010534508153796196,0.011621761339483783,0.0075617861981844186,-0.0010872531856875867,-0.006714992254273966,0.9654428976222742,0.9592004829918305,1.0
4,5,10,0.006478444207459688,0.007622483593877405,0.0016718135862180245,-0.0011440393864177167,-0.007859031640691683,0.9819033819403767,0.9784355246229955,1.0
5,6,12,0.006468839477747679,0.00818759694811888,0.005273993569259796,-0.0017187574703712016,-0.009577789111062884,0.9824556003570439,0.9764933441263417,1.0
6,7,14,0.006805767770856619,0.006988266890402883,0.00040045085027167973,-0.0001824991195462644,-0.009760288230609149,0.9836040359296173,0.9831030627326196,1.0
7,8,16,0.00700635788962245,0.0069566378952004015,0.0004525585230871076,4.971999442204833e-05,-0.0097105682361871,0.983504647011756,0.9835581759041517,1.0
8,9,18,0.007368071470409632,0.00751231933827512,0.0004920464051841257,-0.00014424786786548793,-0.009854816104052588,0.9838273275119911,0.9834187474125817,1.0
9,10,20,0.00762103870511055,0.007938540453324094,0.0005575829466690867,-0.0003175017482135445,-0.010172317852266133,0.9832431435247817,0.9822793912442583,1.0
10,11,22,0.007277021184563637,0.007509180315537378,0.00038003622496327944,-0.0002321591309737414,-0.010404476983239874,0.9840967702321012,0.9823032444829772,1.0
11,12,24,0.007480933330953121,0.007993769104359671,0.00037362270713850964,-0.0005128357734065503,-0.010917312756646425,0.9832386799693016,0.9804968646196095,1.0
12,13,26,0.0078118471428751945,0.008320260472828522,0.0006214016792450015,-0.0005084133299533278,-0.011425726086599752,0.982207497392478,0.9798171147929102,1.0
13,14,28,0.008943143300712109,0.008974616968771443,0.0008977494852216038,-3.147366805933416e-05,-0.011457199754659086,0.9760515812097021,0.9760474857471475,1.0
14,15,30,0.009990766644477844,0.010305113682989031,0.0007471136046850963,-0.00031434703851118684,-0.011771546793170273,0.9708720022052743,0.9701725818800643,1.0
15,16,32,0.010751285590231419,0.010795540700200945,0.0008549996169605142,-4.425510996952653e-05,-0.0118158019031398,0.968275314037715,0.9684899772160013,1.0
16,17,34,0.01085788756608963,0.011150478792842478,0.0007932567725981059,-0.00029259122675284743,-0.012108393129892647,0.9658697894545234,0.9662626510765173,1.0
17,18,36,0.010059833526611328,0.01056491193594411,0.0005805331712911426,-0.000505078409332782,-0.01261347153922543,0.9696629213483146,0.9688337203752074,1.0
18,19,38,0.010775995440781116,0.011535531608387828,0.0005186941010338093,-0.0007595361676067114,-0.01337300770683214,0.9663006322412803,0.9640961500814699,1.0
19,20,40,0.011276103556156158,0.011853360920213163,0.0007587276115645922,-0.0005772573640570045,-0.013950265070889145,0.9646931015752308,0.9625008990775754,1.0
20,21,42,0.011652502231299877,0.012854102824348956,0.00038267724861387395,-0.0012016005930490792,-0.015151865663938224,0.9652997797290366,0.9618533466279016,1.0
21,22,44,0.012633909471333027,0.013872539100702852,0.0006637775048198812,-0.0012386296293698251,-0.01639049529330805,0.9617350006011783,0.9587412426517797,1.0
22,23,46,0.013660397380590439,0.014718845952302217,0.0007279839436320024,-0.0010584485717117786,-0.017448943865019828,0.9589960164135741,0.9566728495278188,1.0
23,24,48,0.014948327094316483,0.016579387884121388,0.0006991243133491677,-0.0016310607898049057,-0.019080004654824734,0.9561298794317775,0.9514957135869773,1.0
24,25,50,0.015315365977585316,0.016949457116425037,0.0013109718920228327,-0.0016340911388397217,-0.020714095793664455,0.9566334917361548,0.9508539058267634,1.0
25,26,52,0.016880104318261147,0.018889427999965847,0.0016654421012250638,-0.0020093236817047,-0.022723419475369155,0.9508761508761508,0.944444606455944,1.0
26,27,54,0.018668504431843758,0.020457679987885058,0.0014560834019174591,-0.0017891755560413003,-0.024512595031410456,0.9451327433628318,0.9385507265276579,1.0
27,28,56,0.018343154340982437,0.01966742961667478,0.0008580245046128919,-0.0013242752756923437,-0.0258368703071028,0.9460034893692522,0.9416965363444894,1.0
28,29,58,0.02050875499844551,0.022074776235967875,0.0010655772810130198,-0.0015660212375223637,-0.027402891544625163,0.9390970164578871,0.933300209330308,1.0
29,30,60,0.022109895944595337,0.023901574313640594,0.001138222188194312,-0.0017916783690452576,-0.02919456991367042,0.9336734693877551,0.926997423439639,1.0
30,31,62,0.026155157014727592,0.02795357070863247,0.0012716884865982573,-0.0017984136939048767,-0.030992983607575297,0.9228773992737334,0.9160696391233965,1.0
31,32,64,0.02972164936363697,0.0324103218736127,0.0022582043863887996,-0.0026886725099757314,-0.03368165611755103,0.9109468296843901,0.9023054888508304,1.0
32,33,66,0.03111015446484089,0.03344501950778067,0.0025963188028898395,-0.002334865042939782,-0.03601652116049081,0.9064099301608844,0.8994561219664228,1.0
33,34,68,0.03139244765043259,0.033768875524401665,0.0013214056279004216,-0.002376427873969078,-0.03839294903445989,0.9044568009257953,0.8979171495767491,1.0
34,35,70,0.0316457599401474,0.03420843277126551,0.0016946235861577965,-0.002562672831118107,-0.040955621865577996,0.9030564727796122,0.8958885046889398,1.0
35,36,72,0.03354772925376892,0.03591623529791832,0.0015538304863018048,-0.002368506044149399,-0.043324127909727395,0.8983750105245433,0.8916180344780236,1.0
36,37,74,0.03635821118950844,0.03902339958585799,0.0023163267448402013,-0.0026651883963495493,-0.045989316306076944,0.8897440884714773,0.8833128862832427,1.0
37,38,76,0.038619864732027054,0.041868251049891114,0.003328666930571881,-0.0032483863178640604,-0.049237702623941004,0.8847141319051431,0.8767601813339789,1.0
38,39,78,0.03618002310395241,0.03816425520926714,0.002165629075410781,-0.0019842321053147316,-0.051221934729255736,0.8914265049515967,0.8863596506022448,1.0
39,40,80,0.03687616437673569,0.039067968958988786,0.0011732100696144653,-0.0021918045822530985,-0.053413739311508834,0.8872440509131156,0.8811516041003449,1.0
40,41,82,0.03916286677122116,0.04186531621962786,0.0016156540695751965,-0.0027024494484066963,-0.05611618875991553,0.8821555304926691,0.8754550604750765,1.0
41,42,84,0.04124891385436058,0.042755617294460535,0.002642899448326501,-0.0015067034400999546,-0.057622892200015485,0.8765816730890109,0.8732943094195854,1.0
42,43,86,0.04271737113595009,0.04563071997836232,0.0016123534986636262,-0.0029133488424122334,-0.06053624104242772,0.8730063687333297,0.8674719452904109,1.0
43,44,88,0.04310596361756325,0.045700385235249996,0.0030933651838539215,-0.0025944216176867485,-0.06313066266011447,0.8716458446496469,0.865860829225773,1.0
44,45,90,0.04638519510626793,0.049508534371852875,0.0017010948104355691,-0.0031233392655849457,-0.06625400192569941,0.8654266073594824,0.8578294271731218,1.0
45,46,92,0.049770012497901917,0.05222259764559567,0.002175387735852205,-0.0024525851476937532,-0.06870658707339317,0.8586142322097379,0.8532088692020462,1.0
