index,x,y,label,sufficiency,stderr,CI95_low,CI95_high,tag
1,363,123,1,0.0,0.0,0.0,0.0,redundant
2,62,335,0,0.0,0.0,0.0,0.0,redundant
3,351,103,1,0.0,0.0,0.0,0.0,redundant
4,247,116,0,0.0,0.0,0.0,0.0,redundant
5,218,262,1,0.0,0.0,0.0,0.0,redundant
6,222,7,0,0.0,0.0,0.0,0.0,redundant
7,124,263,1,0.0,0.0,0.0,0.0,redundant
8,390,199,0,0.0,0.0,0.0,0.0,redundant
9,275,244,1,0.0,0.0,0.0,0.0,redundant
10,623,205,0,0.0,0.0,0.0,0.0,redundant
11,154,264,1,0.0,0.0,0.0,0.0,redundant
12,578,407,0,0.0,0.0,0.0,0.0,redundant
13,321,128,1,0.0,0.0,0.0,0.0,redundant
14,264,418,0,0.0,0.0,0.0,0.0,redundant
15,271,210,1,0.0,0.0,0.0,0.0,redundant
16,558,366,0,0.0,0.0,0.0,0.0,redundant
17,339,125,1,0.0,0.0,0.0,0.0,redundant
18,103,241,0,0.0,0.0,0.0,0.0,redundant
19,355,169,1,0.0,0.0,0.0,0.0,redundant
20,272,53,0,0.0,0.0,0.0,0.0,redundant
21,246,209,1,0.0,0.0,0.0,0.0,redundant
22,74,46,0,0.0,0.0,0.0,0.0,redundant
23,179,257,1,0.0,0.0,0.0,0.0,redundant
24,223,391,0,0.0,0.0,0.0,0.0,redundant
25,280,215,1,0.0,0.0,0.0,0.0,redundant
26,436,49,0,0.0,0.0,0.0,0.0,redundant
27,272,171,1,0.0,0.0,0.0,0.0,redundant
28,33,348,0,0.0,0.0,0.0,0.0,redundant
29,147,250,1,0.0,0.0,0.0,0.0,redundant
30,236,153,0,0.0,0.0,0.0,0.0,redundant
31,366,191,1,0.0,0.0,0.0,0.0,redundant
32,364,408,0,0.0,0.0,0.0,0.0,redundant
33,379,109,1,0.0,0.0,0.0,0.0,redundant
34,548,419,0,0.0,0.0,0.0,0.0,redundant
35,378,99,1,0.0,0.0,0.0,0.0,redundant
36,156,359,0,0.0,0.0,0.0,0.0,redundant
37,215,232,1,0.0,0.0,0.0,0.0,redundant
38,20,213,0,0.0,0.0,0.0,0.0,redundant
39,296,235,1,0.0,0.0,0.0,0.0,redundant
40,176,120,0,0.0,0.0,0.0,0.0,redundant
41,364,96,1,0.0,0.0,0.0,0.0,redundant
42,594,45,0,0.0,0.0,0.0,0.0,redundant
43,228,215,1,0.0,0.0,0.0,0.0,redundant
44,452,93,0,0.0,0.0,0.0,0.0,redundant
45,262,257,1,0.0,0.0,0.0,0.0,redundant
46,254,378,0,0.0,0.0,0.0,0.0,redundant
