prompt_index,label(+1/-0),phi_J1_MI_ZY,phi_J2_MI_ZYgt,phi_J3_IoU,phi_Dice
0,+,-0.044870,0.004924,0.224453,0.193239
1,+,-0.033183,0.001804,0.150926,0.135047
2,+,0.027128,0.001238,0.161723,0.154013
3,+,0.002809,-0.001159,0.085861,0.076745
4,+,-0.027502,0.005348,0.220588,0.190895
5,+,-0.123508,0.003075,-0.015751,-0.025848
6,-,0.021924,0.001388,-0.007342,-0.008292
7,-,-0.072379,0.001941,-0.040696,-0.062004
8,-,0.005549,0.000449,-0.004323,-0.005216
9,-,0.017310,0.001790,0.001179,-0.000455
10,-,0.026308,-0.002866,0.044741,0.054466
